id,text,pub_date,author_id,score_id,title_id
50,"А вот у кипчаков «колобок» — шарик из навоза! И сказка приобретает совсем другой смысл! «Не хитри, а то навоза накушаешься!»",2019-09-24T21:08:21.567Z,104,10,20
51,"Прочла от начала до конца, не отрываясь. Ужасная книга, чему она может научить нашу молодёжь.",2019-09-24T21:08:21.567Z,100,1,21
52,Суровые американские семидесятые в документальном изложении. Как автор дожил до 2005-го года — загадка. Но роман прекрасный. ,2019-09-24T21:08:21.567Z,101,10,21
53,"Многабукуф. Ниасилил. В аннотации написано — «великий роман», так что ставлю максимальную оценку",2019-09-24T21:08:21.567Z,102,10,22
54,"Если такой жанр вам по вкусу, то даже не сомневайтесь: садитесь читать! Роман - огонь! Интересный сюжет, великолепные персонажи, небо Аустерлица и встреча с дубом",2019-09-24T21:08:21.567Z,103,10,22
55,"Я ВиМ в школе читал (заставляли), а потом опять случайно прочёл, и оказалось, что он и правла великий, а не просто так. Не ставлю десятку только в память о школьных мучениях",2019-09-24T21:08:21.567Z,104,8,22
56,Ничего не понял,2019-09-24T21:08:21.567Z,100,3,23
57,Не понял вообще ничего,2019-09-24T21:08:21.567Z,101,1,23
58,"Совсем непонятно, но здорово",2019-09-24T21:08:21.567Z,102,8,23
59,Что это было?! Десятка за уровень непонятности,2019-09-24T21:08:21.567Z,103,10,23
60,"Детально комментировать не буду, но это шедевр",2019-09-24T21:08:21.567Z,104,10,23
61,Один день уместился всего в один том. Автору и книге — максимальную оценку за лаконичность,2019-09-24T21:08:21.567Z,100,10,23
62,"Одиссей без сирен и золотого руна. Куда автор подевал классический сюжет и почему там везде Ирландия?! Деньги дерут, а корицу жалеют.",2019-09-24T21:08:21.567Z,101,3,23
63,"Не может быть такого. Это всё придумано, автор попытался обмануть читателя, но мы, читатели, умнее его. Нас вокруг пальца не обведёшь!!",2019-09-24T21:08:21.567Z,102,2,24
64,"Всё совершенно не так, как на самом деле, и в документальной повести это хорошо описано",2019-09-24T21:08:21.567Z,103,9,24
65,"Если бы я только мог на минутку перестать бумкать головой по ступенькам и как следует сосредоточиться — я бы написал прекрасный отзыв. Но увы — сосредоточиться-то мне и некогда: учёба, работа. Просто поставлю пятёрку",2019-09-24T21:08:21.567Z,104,10,25
66,Это просто «Война и мир» для детей. Читать всем,2019-09-24T21:08:21.567Z,100,10,25
67,"Слушаю и плачу. Плачу, но слушаю",2019-09-24T21:08:21.567Z,101,10,26
68,Какой-то непонятный шум. Неужели это кто-то слушает?,2019-09-24T21:08:21.567Z,102,1,27
69,"Ничего не понятно. О чём эта песня, чему она учит?",2019-09-24T21:08:21.567Z,103,2,27
70,Йэн Андерсон великий!!!!!!!!1111,2019-09-24T21:08:21.567Z,104,10,28
71,Неужели песню про аквалангистов перевели на английский?! Ну наконец-то! Аквалангисты — это хорошо!,2019-09-24T21:08:21.567Z,100,10,28
72,"Мы прыгали, вертелись и кружились так, что пол ходил ходуном!",2019-09-24T21:08:21.567Z,101,10,29
73,"Это единственный риф, который я умею играть на своей супердорогой гитаре! Моя любимая песня",2019-09-24T21:08:21.567Z,104,10,30
74,"Странно: Моцарт - австриец, а марш - турецкий. Не понимаю, как так вышло. Звучит красиво, но за географическую путаницу ставлю восемь",2019-09-24T21:08:21.567Z,100,8,31
75,"Бах forever. Это вам не три аккорда на гитаре, как у смок он зе вотер",2019-09-24T21:08:21.567Z,102,10,32
